date,team,player,position,injury
1/31/14,MemphisGrizzlies,Mike Conley,PG,Right ankle
1/29/14,New OrleansPelicans,Anthony Davis,F/C,Finger
1/29/14,San AntonioSpurs,Manu Ginobili,G/F,Left hamstring
1/29/14,TorontoRaptors,Patrick Patterson,F/C,Broken nose
1/29/14,DenverNuggets,Ty Lawson,PG,Left shoulder
1/28/14,ClevelandCavaliers,Carrick Felix,G/F,Sore knee
1/28/14,HoustonRockets,James Harden,G/F,Thumb
1/28/14,DenverNuggets,Nate Robinson,G,Left ACL sprain
1/28/14,MinnesotaTimberwolves,Nikola Pekovic,C,Bruised ankle
1/27/14,TorontoRaptors,DeMar DeRozan,G/F,Foot
1/27/14,ChicagoBulls,Joakim Noah,F/C,Flu
1/27/14,MilwaukeeBucks,O.J. Mayo,G,Flu
1/24/14,MilwaukeeBucks,Ekpe Udoh,F/C,Left ankle sprain
1/24/14,AtlantaHawks,Jeff Teague,PG,Left ankle sprain
1/24/14,Oklahoma CityThunder,Kevin Durant,F,Shoulder
1/24/14,AtlantaHawks,Pero Antic,C,Sore ankle
1/24/14,New OrleansPelicans,Tyreke Evans,G/F,Flu
1/23/14,New YorkKnicks,Andrea Bargnani,F/C,Left elbow
1/23/14,SacramentoKings,Rudy Gay,F,Left achilles
1/22/14,Golden StateWarriors,Andrew Bogut,C,Knee
1/22/14,BostonCeltics,Avery Bradley,G,Sore ankle
1/22/14,ChicagoBulls,Carlos Boozer,F/C,Left calf
1/22/14,SacramentoKings,DeMarcus Cousins,F/C,Ankle
1/22/14,AtlantaHawks,DeMarre Carroll,F,Hamstring
1/22/14,BostonCeltics,Jerryd Bayless,G,Sore toe
1/22/14,San AntonioSpurs,Kawhi Leonard,G/F,Hand
1/22/14,TorontoRaptors,Landry Fields,G/F,Right wrist surgery
1/22/14,Los AngelesLakers,Pau Gasol,F/C,Toe
1/22/14,ChicagoBulls,Ronnie Brewer,G/F,Sore calf
1/22/14,HoustonRockets,Terrence Jones,F,Left thigh
1/21/14,Philadelphia76ers,Brandon Davies,PF,Dislocated finger
1/21/14,UtahJazz,Derrick Favors,F/C,Hip
1/21/14,CharlotteBobcats,Kemba Walker,PG,Sprained left ankle
1/21/14,ChicagoBulls,Kirk Hinrich,G,Hamstring
1/21/14,OrlandoMagic,Ronnie Price,G,Sore foot
1/21/14,DallasMavericks,Samuel Dalembert,C,Shoulder
1/21/14,Philadelphia76ers,Tony Wroten,PG,Sore ankle
1/18/14,HoustonRockets,Francisco Garcia,G/F,Sore knee
1/18/14,CharlotteBobcats,Gary Neal,G,Flu
1/18/14,New OrleansPelicans,Jason Smith,F/C,Right knee
1/17/14,New YorkKnicks,Amar'e Stoudemire,F/C,Sore ankle
1/17/14,DallasMavericks,Gal Mekel,G,Right knee surgery
1/17/14,New YorkKnicks,Kenyon Martin,F/C,Sore ankle
1/17/14,Golden StateWarriors,Nemanja Nedovic,G,Pulled hamstring
1/17/14,San AntonioSpurs,Tony Parker,PG,Right shin contusion
1/15/14,DenverNuggets,Aaron Brooks,PG,Sore knee
1/15/14,ChicagoBulls,Greg Smith,F/C,Sore knee
1/13/14,San AntonioSpurs,Danny Green,G/F,Fractured hand
1/13/14,DenverNuggets,Darrell Arthur,F/C,Hip strain
1/13/14,UtahJazz,Marvin Williams,F,Flu
1/13/14,OrlandoMagic,Maurice Harkless,SF,Sore knee
1/13/14,AtlantaHawks,Pero Antic,C,Back spasms
1/11/14,OrlandoMagic,Arron Afflalo,G/F,Sore ankle
1/11/14,ChicagoBulls,Jimmy Butler,G/F,Sore quad
1/11/14,New OrleansPelicans,Tyreke Evans,G/F,Sore ankle
1/10/14,UtahJazz,Gordon Hayward,G/F,Left hip flexor
1/10/14,New OrleansPelicans,Jrue Holiday,PG,Right tibia
1/9/14,ChicagoBulls,Joakim Noah,F/C,Illness
1/9/14,IndianaPacers,Lavoy Allen,F/C,Calf
1/9/14,ChicagoBulls,Mike Dunleavy,G/F,Elbow
1/8/14,HoustonRockets,Chandler Parsons,F,Sore knee
1/8/14,ChicagoBulls,Greg Smith,F/C,Sore knee
1/8/14,IndianaPacers,Lance Stephenson,G/F,Sore knee
1/8/14,MinnesotaTimberwolves,Luc Richard Mbah a Moute,F,Groin
1/8/14,San AntonioSpurs,Manu Ginobili,G/F,Sore hamstring
1/8/14,DallasMavericks,Shawn Marion,F,Sore shoulder
1/7/14,OrlandoMagic,Nikola Vucevic,F/C,Concussion
1/6/14,BrooklynNets,Deron Williams,PG,Sore ankle
1/6/14,Philadelphia76ers,Tony Wroten,PG,Flu
1/5/14,Golden StateWarriors,Draymond Green,SF,Sprained left ankle
1/5/14,ClevelandCavaliers,Jarrett Jack,G,Back spasms
1/5/14,MiamiHeat,Mario Chalmers,PG,Right Achilles tendinitis
1/5/14,DetroitPistons,Rodney Stuckey,G,Sore shoulder
1/5/14,MiamiHeat,Shane Battier,G/F,Sore quad
1/5/14,San AntonioSpurs,Tiago Splitter,C,Right shoulder  sprain
1/5/14,MemphisGrizzlies,Tony Allen,G/F,Hand
1/5/14,New YorkKnicks,Tyson Chandler,C,Upper respiratory infection
1/4/14,ChicagoBulls,Carlos Boozer,F/C,Sore knee
1/4/14,MiamiHeat,Dwyane Wade,G,Sore knee
1/4/14,PhoenixSuns,Eric Bledsoe,G,Sprained right knee
1/4/14,OrlandoMagic,Nikola Vucevic,F/C,Sore ankle
1/3/14,Los AngelesClippers,Chris Paul,PG,Separated shoulder
1/3/14,New OrleansPelicans,Ryan Anderson,F/C,Cervical stinger
1/2/14,ClevelandCavaliers,Kyrie Irving,G,Sore knee
1/2/14,MinnesotaTimberwolves,Luc Richard Mbah a Moute,F,Groin
1/2/14,TorontoRaptors,Tyler Hansbrough,F/C,Sore ankle
2/28/14,DetroitPistons,Brandon Jennings,PG,Sore toe
2/28/14,ClevelandCavaliers,C.J. Miles,G/F,Sore ankle
2/28/14,SacramentoKings,Carl Landry,F,Sore knee
2/28/14,IndianaPacers,George Hill,G,Bruised shoulder
2/28/14,BostonCeltics,Gerald Wallace,F,Torn meniscus
2/28/14,Los AngelesClippers,Jamal Crawford,G,Strained calf
2/28/14,SacramentoKings,Jason Terry,G,Sore knee
2/28/14,BostonCeltics,Kelly Olynyk,C,Sore toe
2/28/14,TorontoRaptors,Terrence Ross,G/F,Sprained ankle
2/28/14,Oklahoma CityThunder,Thabo Sefolosha,G/F,Sprained calf
2/26/14,PhoenixSuns,Goran Dragic,G,Sore ankle
2/26/14,Oklahoma CityThunder,Kendrick Perkins,C,Pulled groin
2/26/14,Philadelphia76ers,Lorenzo Brown,PG,Sore wrist
2/26/14,PortlandTrail Blazers,Thomas Robinson,PF,Left patella tendon
2/25/14,DenverNuggets,Darrell Arthur,F/C,Left hip strain
2/25/14,ChicagoBulls,Jimmy Butler,G/F,Bruised ribs
2/25/14,WashingtonWizards,Kevin Seraphin,F/C,Sore right knee
2/25/14,PhoenixSuns,Leandro Barbosa,G,Sprained toe
2/25/14,AtlantaHawks,Paul Millsap,F/C,Sore knee
2/25/14,MinnesotaTimberwolves,Ronny Turiaf,F/C,Bruised knee
2/25/14,PhoenixSuns,Viacheslav Kravtsov,C,Sprained ankle
2/23/14,TorontoRaptors,Amir Johnson,F/C,Right ankle
2/23/14,WashingtonWizards,Nene Hilario,F/C,Left knee sprain
2/22/14,UtahJazz,Derrick Favors,F/C,Hip
2/22/14,BostonCeltics,Jared Sullinger,F/C,Concussion
2/21/14,OrlandoMagic,Arron Afflalo,G/F,Right ankle sprain
2/21/14,MiamiHeat,LeBron James,F,Broken nose
2/19/14,New YorkKnicks,Amar'e Stoudemire,F/C,Store left knee
2/19/14,San AntonioSpurs,Aron Baynes,C,Left knee contusion
2/19/14,DetroitPistons,Chauncey Billups,G,Knee surgery
2/19/14,New YorkKnicks,Iman Shumpert,G/F,Sprained MCL
2/19/14,ChicagoBulls,Ronnie Brewer,G/F,Sprained right ankle
2/18/14,SacramentoKings,DeMarcus Cousins,F/C,Strained left hip flexor
2/18/14,ClevelandCavaliers,Dion Waiters,SG,Hyperextended left knee
2/18/14,AtlantaHawks,Gustavo Ayon,F/C,Right shoulder
2/18/14,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Strained left groin
2/18/14,IndianaPacers,Lavoy Allen,F/C,Sore knee
2/18/14,PortlandTrail Blazers,Meyers Leonard,F/C,Sprained left ankle
2/18/14,San AntonioSpurs,Tony Parker,PG,Back
2/13/14,PortlandTrail Blazers,Joel Freeland,F/C,Knee
2/12/14,AtlantaHawks,DeMarre Carroll,F,Left hamstring
2/12/14,DallasMavericks,Devin Harris,G,Sore knee
2/12/14,MilwaukeeBucks,Ekpe Udoh,F/C,Sore ankle
2/12/14,Philadelphia76ers,Hollis Thompson,F,Ankle sprain
2/12/14,New YorkKnicks,J.R. Smith,G/F,Fractured cheek bone
2/12/14,MilwaukeeBucks,John Henson,F/C,Sore ankle
2/12/14,Los AngelesLakers,Steve Nash,PG,Nerve irritation
2/12/14,BostonCeltics,Vitor Faverani,C,Knee
2/11/14,ClevelandCavaliers,Anderson Varejao,F/C,Sore back
2/11/14,ClevelandCavaliers,C.J. Miles,G/F,Sore right foot
2/10/14,TorontoRaptors,Amir Johnson,F/C,Sore ankle
2/10/14,BostonCeltics,Avery Bradley,G,Ankle
2/10/14,MilwaukeeBucks,Ersan Ilyasova,F,Sore back
2/10/14,DenverNuggets,Ty Lawson,PG,Fractured rib
2/9/14,ChicagoBulls,Carlos Boozer,F/C,Sore calf
2/9/14,MinnesotaTimberwolves,Kevin Martin,G/F,Thumb
2/9/14,MilwaukeeBucks,Larry Sanders,F/C,Fractured orbital bone
