season,regular season start,regular season end
2015-16,2015-10-27,2016-04-13
2014-15,2014-10-28,2015-04-15
2013-14,2013-10-29,2014-04-16
2012-13,2012-10-30,2013-04-17
2011-12,2011-12-25,2012-04-26
2010-11,2010-10-26,2011-04-13
2009-10,2009-10-27,2010-04-14
2008-09,2008-10-28,2009-04-16
2007-08,2007-10-30,2008-04-16
2006-07,2006-10-31,2007-04-18
2005-06,2005-11-01,2006-04-19
2004-05,2004-11-02,2005-04-20
2003-04,2003-10-28,2004-04-14
2002-03,2002-10-29,2003-04-16
2001-02,2001-10-30,2002-04-17
2000-01,2000-10-31,2001-04-18
1999-00,1999-11-02,2000-04-19
